,joy,sadness,disgust,contempt,anger,fear,surprise,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,lidTighten,jawDrop,dimpler,eyeWiden,cheekRaise,lipStretch,pain
209,0,0,0,0,0,0,1,0,1,0,7,25,5,0,0,0,0,0,5,0,0,0,0,91,0,0,2,6,0,2,0
210,67,1,99,0,2,0,0,0,100,100,69,0,100,99,81,72,96,0,4,8,100,0,0,95,97,20,1,0,56,0,1
211,0,29,0,1,7,0,0,-19,60,0,0,0,99,0,0,0,0,6,0,0,0,0,0,96,0,0,0,0,0,0,0
212,0,1,90,1,94,0,0,-74,100,20,0,0,100,100,0,0,97,0,97,67,1,12,0,92,98,0,84,0,8,72,1
213,100,0,0,0,0,0,7,99,100,100,0,5,0,1,0,0,0,0,0,0,100,0,0,98,0,43,0,0,99,1,0
214,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,96,0,1,0,0,0,0,0
215,0,0,0,0,0,0,4,-56,99,0,7,60,0,0,0,0,0,0,100,100,0,1,0,98,0,0,100,0,0,31,0
216,47,0,80,0,8,0,0,0,100,100,1,0,100,100,3,0,47,0,1,0,53,0,0,93,100,0,0,0,100,57,1
217,99,0,0,0,0,0,10,39,100,100,1,42,0,1,86,0,21,0,2,22,63,0,0,90,0,20,2,0,88,0,0
218,0,0,1,0,0,0,2,-72,45,0,0,0,0,0,0,97,0,0,27,0,65,0,8,64,1,26,0,0,0,0,0
219,0,0,0,0,0,31,1,0,0,0,0,15,0,0,0,0,4,2,0,0,0,0,0,96,0,3,0,98,0,0,0
220,99,0,16,0,0,0,0,42,100,100,4,3,42,81,0,0,1,0,0,0,97,0,0,98,2,2,0,0,98,90,0
221,0,73,1,1,0,0,0,-100,99,0,32,0,64,3,0,99,1,0,0,0,2,0,0,97,1,0,0,0,0,0,1
